,rb?,te?,age,max_ppg,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,Breakout Age,cdr,id,year
559,0,0,29.1,5.0882,5.0882,2.2242666666666664,0.0,,20.4,43.2,DeAndre Carter,2022.0
560,0,0,30.0,17.9875,14.72,16.835833333333333,0.6666666666666666,1.27,18.2,39.3,DeAndre Hopkins,2022.0
561,0,0,30.5,,,,,4.33,22.8,43.7,DeAndre Smelter,2022.0
562,0,0,30.6,1.3,,1.3,0.0,,,14.8,DeAndrew White,2022.0
563,0,0,23.9,3.2143,0.0,1.60715,0.0,,,13.3,DeMichael Harris,2022.0
564,0,0,35.5,18.4,4.7375,10.699166666666665,0.3333333333333333,2.18,18.8,32.1,DeSean Jackson,2022.0
565,0,0,29.4,15.4,10.35,12.542866666666667,0.3333333333333333,1.14,19.6,46.3,DeVante Parker,2022.0
566,0,0,32.2,,,,,3.05,19.5,25.0,DeVier Posey,2022.0
567,0,0,28.5,10.2,1.12,3.6733333333333333,0.0,4.03,22.8,38.2,Dede Westbrook,2022.0
568,0,0,26.4,21.185,21.185,15.0712,0.3333333333333333,2.04,20.6,41.3,Deebo Samuel,2022.0
569,0,0,27.9,,,,,7.08,21.2,31.2,Demarcus Ayers,2022.0
570,0,0,27.7,6.725,4.0824,5.8358,0.0,4.28,20.0,26.6,Demarcus Robinson,2022.0
571,0,0,34.4,7.8,,7.8,0.0,1.22,19.7,70.9,Demaryius Thomas,2022.0
572,0,0,23.9,3.1562,3.1562,3.1562,0.0,6.26,,17.2,Demetric Felton,2022.0
573,0,0,33.5,,,,,5.17,19.7,32.1,Denarius Moore,2022.0
574,0,0,24.6,6.7444,1.9364,4.3404,0.0,2.27,19.9,42.3,Denzel Mims,2022.0
575,0,0,25.8,1.9,,0.95,0.0,6.11,21.1,27.1,Deon Cain,2022.0
576,0,0,24.7,6.8,,4.625,0.0,,19.9,30.6,Deontay Burnett,2022.0
577,0,0,33.3,,,,,,,13.3,Deonte Thompson,2022.0
578,0,0,37.7,,,,,3.18,19.0,29.2,Derek Hagan,2022.0
579,0,0,27.6,0.0,,0.0,0.0,,,11.8,Derrick Willies,2022.0
580,0,0,24.7,5.2,5.2,4.2594,0.0,3.28,22.0,32.5,Devin Duvernay,2022.0
581,0,0,28.0,6.2,,6.2,0.0,2.09,19.3,41.4,Devin Funchess,2022.0
582,0,0,30.2,7.4,,7.4,0.0,2.05,20.5,26.8,Devin Smith,2022.0
583,0,0,31.2,,,,,5.06,20.4,38.7,Devin Street,2022.0
584,0,0,23.5,10.9176,10.9176,10.9176,0.0,1.1,20.8,51.3,Devonta Smith,2022.0
585,0,0,33.6,3.7833,,3.7833,0.0,1.24,18.8,62.5,Dez Bryant,2022.0
586,0,0,24.5,3.975,3.975,3.975,0.0,4.04,19.7,24.9,Dez Fitzpatrick,2022.0
587,0,0,29.5,,,,,7.17,19.8,28.0,Dezmin Lewis,2022.0
588,0,0,23.8,1.2625,1.2625,0.63125,0.0,6.33,,14.8,Dezmon Patmon,2022.0
589,0,0,24.3,0.0,0.0,0.0,0.0,,21.6,22.0,Dillon Stoner,2022.0
590,0,0,25.6,17.15,17.15,13.912233333333333,0.3333333333333333,3.02,20.8,34.0,Diontae Johnson,2022.0
591,0,0,30.2,1.2273,-0.22,0.5024333333333334,0.0,,21.5,28.8,Diontae Spencer,2022.0
592,0,0,38.0,,,,,2.02,21.2,34.7,Donnie Avery,2022.0
593,0,0,23.3,7.8357,7.8357,6.3512,0.0,6.08,19.5,25.1,Donovan Peoples-Jones,2022.0
594,0,0,28.8,1.5,,0.99165,0.0,3.26,18.1,32.1,Donte Moncrief,2022.0
595,0,0,28.8,,,,,,19.0,42.7,Donteea Dye,2022.0
596,0,0,33.3,4.63,,4.465,0.0,,21.6,21.2,Dontrelle Inman,2022.0
597,0,0,29.1,,,,,2.08,20.4,31.8,Dorial Green-Beckham,2022.0
598,0,0,33.7,,,,,,20.0,27.0,Doug Baldwin,2022.0
599,0,0,30.1,8.7,,8.7,0.0,,22.3,25.2,Duke Williams,2022.0
600,0,0,37.7,,,,,1.23,21.0,35.4,Dwayne Bowe,2022.0
601,0,0,34.7,0.6,,-0.03334999999999999,0.0,6.11,22.0,32.9,Dwayne Harris,2022.0
602,0,0,22.6,1.8733,1.8733,1.8733,0.0,3.18,19.8,31.2,Dyami Brown,2022.0
603,0,0,29.0,,,,,,21.2,32.1,Ed Eagan,2022.0
604,0,0,36.0,,,,,2.11,20.3,21.7,Eddie Royal,2022.0
605,0,0,29.4,,,,,,18.7,15.2,Eli Rogers,2022.0
606,0,0,22.1,12.5636,12.5636,12.5636,0.0,2.02,19.4,41.9,Elijah Moore,2022.0
607,0,0,35.2,11.7714,9.4071,10.759500000000001,0.0,3.18,19.5,34.2,Emmanuel Sanders,2022.0
608,0,0,25.7,2.8222,1.5538,2.188,0.0,6.33,19.9,25.2,Equanimeous St. Brown,2022.0
609,0,0,35.2,,,,,3.23,20.5,44.5,Eric Decker,2022.0
610,0,0,36.9,,,,,,19.2,43.1,Eric Weems,2022.0
611,0,0,24.7,0.24,0.24,0.24,0.0,6.03,22.0,22.0,Frank Darby,2022.0
