,y,rb?,te?,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,injury_risk,last_yr_games_played,hit_rate,Draft Pick,Breakout Age,cdr
1179,0,0,1,23.6,40.6,40.6,40.6,2.9,0.875,14.0,0.0,2.1,21.9,21.5
1182,0,0,1,27.2,25.2,15.799999999999999,25.2,2.6,0.3958333333333333,7.0,0.0,5.07,19.5,37.6
1188,0,0,1,26.3,48.0,34.125,44.400000000000006,3.466666666666667,0.59375,12.0,0.0,5.35,20.6,21.2
1190,0,0,1,26.7,63.7,27.975,22.5,3.766666666666667,0.5,5.0,0.0,6.18,21.0,18.8
1191,0,0,1,25.2,73.5,36.733333333333334,73.5,3.6,0.5416666666666666,15.0,0.0,3.32,,6.4
1193,0,0,1,21.5,,,,,,,,1.2,19.8,27.0
1196,0,0,1,24.5,121.0,111.19999999999999,121.0,9.95,0.71875,10.0,0.0,1.19,,15.2
1200,0,0,1,25.1,,,,,,,,,22.3,18.9
1204,0,0,1,31.4,60.0,43.06,58.5,3.8000000000000003,0.7625,13.0,0.0,4.33,,8.2
1206,0,0,1,24.0,75.0,62.7,75.0,5.65,0.71875,15.0,0.0,,,12.4
1209,0,0,1,25.1,17.5,17.5,17.5,3.5,0.3125,5.0,0.0,,21.4,38.0
1210,0,0,1,24.3,3.4,3.4,3.4,1.7,0.125,2.0,0.0,,21.6,29.6
1211,0,0,1,29.4,104.0,55.06,54.6,5.5,0.6625,13.0,0.0,6.33,21.7,38.8
1212,0,0,1,23.4,,,,,,,,7.32,,15.2
1215,0,0,1,27.1,23.2,12.6,23.2,2.9,0.28125,8.0,0.0,,19.4,36.1
1216,0,0,1,26.0,3.4,3.4,3.4,1.7,0.125,2.0,0.0,,,7.5
1219,0,0,1,26.3,76.8,43.23333333333333,18.5,4.266666666666667,0.6041666666666666,5.0,0.0,4.4,,18.3
1221,0,0,1,22.5,,,,,,,,,20.7,28.1
1223,0,0,1,21.9,,,,,,,,1.08,21.2,24.0
1224,0,0,1,24.5,,,,,,,,,20.8,22.6
1225,0,0,1,28.7,35.1,35.1,35.1,2.7,0.8125,13.0,0.0,,23.0,
1229,0,0,1,23.9,,,,,,,,7.14,21.2,19.6
1233,0,0,1,29.6,294.4,223.43999999999997,294.4,15.933333333333332,0.9875,16.0,0.0,3.01,22.9,27.6
1235,0,0,1,23.7,,,,,,,,4.19,,5.7
1236,0,0,1,27.6,145.6,61.720000000000006,145.6,7.0,0.575,16.0,0.0,,21.9,15.4
1237,0,0,1,23.9,,,,,,,,5.19,21.2,19.9
1239,0,0,1,23.8,12.8,12.8,12.8,3.2,0.25,4.0,0.0,5.2,21.1,24.1
