,Full Name,0,1,fpts_2021
371,Ryan Griffin,0.9970444,0.0029556043,65.10000000000001
372,Jonathan Ward,0.99706936,0.0029306489,9.7006
373,Vyncint Smith,0.99706936,0.0029306489,0.0
374,Marcus Kemp,0.99706936,0.0029306489,4.4
375,Corey Clement,0.99706936,0.0029306489,28.9
376,Penny Hart,0.99706936,0.0029306489,12.899600000000001
377,Kahale Warring,0.9970898,0.0029101837,0.0
378,Miles Boykin,0.99709797,0.0029020302,1.6
379,Dan Arnold,0.9971102,0.0028898201,75.79990000000001
380,Ryan Nall,0.9971102,0.0028898201,1.8
381,Byron Pringle,0.9971102,0.0028898201,126.7996
382,Stanley Morgan,0.9971102,0.0028898201,3.4000000000000004
383,Matt Breida,0.99711424,0.0028857833,42.6996
384,Robert Tonyan,0.9971244,0.002875645,50.4
385,JoJo Natson,0.99712735,0.0028726263,0.0
386,Braxton Berrios,0.9971303,0.0028697404,121.0992
387,Jacques Patrick,0.99713516,0.0028648516,1.2
388,Trey Ragas,0.99713516,0.0028648516,3.5
389,Dante Pettis,0.9971412,0.002858795,25.3401
390,Gerald Everett,0.9971412,0.002858795,117.7995
391,Jack Stoll,0.9972198,0.002780186,6.2
392,Miller Forristall,0.9972198,0.002780186,0.0
393,Tre McKitty,0.9972216,0.0027784044,10.4995
394,Drew Sample,0.99724406,0.0027559602,19.0995
395,Trenton Cannon,0.9972449,0.0027551227,-1.5996000000000001
396,John Kelly,0.9972449,0.0027551227,1.3
397,Isaiah McKenzie,0.9972449,0.0027551227,52.5
398,Cameron Brate,0.99727315,0.0027268608,78.4992
399,Marcedes Lewis,0.9972777,0.002722312,44.400600000000004
400,Tom Kennedy,0.99727774,0.0027222342,18.3996
401,Demetric Felton,0.99730486,0.0026951686,50.4992
402,Kalen Ballage,0.997311,0.0026890044,6.4005
403,Wayne Gallman,0.997311,0.0026890044,13.5
404,Josh Adams,0.9973338,0.0026661542,0.0
405,Noah Togiai,0.9973338,0.0026661542,0.0
406,Khari Blasingame,0.9973338,0.0026661542,0.9998999999999999
407,Jalen Guyton,0.9973338,0.0026661542,97.2
408,River Cracraft,0.9973338,0.0026661542,0.0
409,Alex Erickson,0.99741673,0.0025832828,8.5
410,Cordarrelle Patterson,0.99742657,0.0025734273,234.6
411,Jonathan Williams,0.9974383,0.0025616698,20.7
412,Demarcus Robinson,0.9974383,0.0025616698,69.4008
413,Chris Moore,0.9974383,0.0025616698,55.7004
414,Equanimeous St. Brown,0.9974383,0.0025616698,20.1994
415,Noah Brown,0.9974439,0.0025560812,34.4006
416,Kirk Merritt,0.99747425,0.0025257645,2.3
417,C.J. Board,0.99747425,0.0025257645,9.7002
418,Devine Ozigbo,0.99747425,0.0025257645,1.4001000000000001
419,Boston Scott,0.9974907,0.0025093083,98.6
420,Josiah Deguara,0.9974907,0.0025093083,61.5008
421,Jordan Wilkins,0.9974907,0.0025093083,0.0
422,John Hightower,0.9974907,0.0025093083,0.0
423,Brycen Hopkins,0.9974907,0.0025093083,1.9
424,Marcell Ateman,0.9974907,0.0025093083,0.0
425,Devin Duvernay,0.9974907,0.0025093083,83.2
426,Kene Nwangwu,0.9975186,0.0024813747,22.9999
427,Peyton Barber,0.9975471,0.0024528857,49.900000000000006
428,Aaron Fuller,0.99755955,0.0024404342,0.0
429,Antoine Wesley,0.99755955,0.0024404342,57.7995
430,Jared Pinkney,0.99755955,0.0024404342,0.0
431,Dalton Schultz,0.99765646,0.0023435168,208.8008
432,Blake Bell,0.9977413,0.0022587476,18.700499999999998
433,James O'Shaughnessy,0.9977413,0.0022587476,50.4
434,Jakeem Grant,0.9977413,0.0022587476,39.499500000000005
435,Kenjon Barner,0.9977413,0.0022587476,0.0
436,Jordan Akins,0.9977413,0.0022587476,41.7001
437,Craig Reynolds,0.99774545,0.0022545368,35.2
438,Chester Rogers,0.99774545,0.0022545368,65.0
439,Jack Doyle,0.9977468,0.0022531773,79.1996
440,Nick Westbrook-Ikhine,0.99776953,0.002230477,107.6
441,Steven Sims,0.99776953,0.002230477,0.0
442,Jaydon Mickens,0.99776953,0.002230477,2.9997
443,Trent Sherfield,0.99776953,0.002230477,23.6997
444,Jeff Smith,0.99776953,0.002230477,19.200000000000003
445,Jalen Richard,0.99776953,0.002230477,23.2
446,Dontrell Hilliard,0.99776953,0.002230477,72.7
447,Mike Boone,0.99776953,0.002230477,7.7
448,Stephen Sullivan,0.9977724,0.002227634,0.0
449,Ryan Izzo,0.9977724,0.002227634,0.0
450,Geoff Swaim,0.9977724,0.002227634,70.0
451,Ty Johnson,0.9977913,0.0022086808,117.0
452,Jesse James,0.9977913,0.0022086808,19.1996
453,Qadree Ollison,0.9977913,0.0022086808,19.7001
454,Jaylen Samuels,0.9977913,0.0022086808,5.3001
455,Samaje Perine,0.9977913,0.0022086808,83.2
456,Brandon Powell,0.9977916,0.0022084392,6.0
457,Jacob Hollister,0.9977916,0.0022084392,20.5002
