,id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,value
228,ffb0e66a-044f-4c27-a454-a48dff2fad16,Tyler,Kroft,-,9.327363497,,TE,NY Jets,#VALUE!
229,5bf93ebd-868f-4de5-b7fd-116ecd2206cd,Anthony,Schwartz,215.6,9.254127297,WR115,WR,Cleveland Browns,-13.4
230,04ab5f2d-0acf-428f-b102-ad2aa63e01be,Wayne,Gallman,-,9.241740097,,RB,Minnesota Vikings,#VALUE!
231,7c92a9cf-01f4-465e-b9c4-e35e986d9590,Kerryon,Johnson,-,9.168538497,,RB,,#VALUE!
232,f06df8c6-023c-4823-ac71-71d0de8789ce,Jared,Cook,215.7,8.927318497,TE37,TE,Los Angeles Chargers,-16.3
233,a83a0984-1fbc-4a37-8c3b-58adde4bfb6e,Kenny,Pickett,212.9,8.9194071,QB30,QB,Pittsburgh Steelers,-20.1
234,a99992b4-6531-447b-a7c0-e48cf0920232,Zach,Wilson,165.9,8.911212,QB22,QB,NY Jets,-68.1
235,54628215-aa83-4769-8da7-84de7e48e589,Dante,Pettis,-,8.831320497,,WR,NY Giants,#VALUE!
236,2b207d78-ac4c-457b-b1d9-ae0c29d37b5a,Benny,Snell,216,8.595240497,RB98,RB,Pittsburgh Steelers,-20
237,7591b569-eda9-4cc4-bbac-474e23318e6d,Auden,Tate,216,8.507642497,WR141,WR,Atlanta Falcons,-21
238,b572b476-e027-48ac-866b-c8f0f667d603,Devin,Funchess,-,8.445594097,,WR,,#VALUE!
